fecha,iee_global,comercio,construccion,manufactura,servicios
2019-11-01,57.3,59.3,51.2,48.6,61.2
2019-12-01,52.8,53.4,48.5,48.8,55.2
2020-01-01,48.4,43.9,49.8,53.2,48.4
2020-02-01,51.0,48.3,50.1,52.2,52.1
2020-03-01,35.3,36.4,38.7,40.6,31.7
2020-04-01,42.5,42.9,43.8,47.6,39.7
2020-05-01,54.6,51.8,53.7,56.6,55.2
2020-06-01,57.6,58.3,53.1,55.2,59.1
2020-07-01,56.6,60.4,51.3,56.0,55.9
2020-08-01,57.2,57.4,47.3,49.1,62.6
2020-09-01,60.1,62.1,52.5,59.1,61.0
2020-10-01,57.9,63.0,48.5,57.3,57.4
2020-11-01,51.6,55.0,50.7,46.3,52.5
2020-12-01,48.5,51.1,45.1,49.8,47.1
2021-01-01,41.5,37.7,44.3,44.0,41.8
2021-02-01,50.4,52.0,49.2,51.2,49.4
2021-03-01,58.0,62.1,44.6,60.6,57.2
2021-04-01,53.3,54.0,54.8,52.4,53.0
2021-05-01,53.2,53.8,48.4,54.1,53.3
2021-06-01,58.0,60.0,50.2,57.3,58.7
2021-07-01,54.6,57.0,50.9,52.8,54.8
2021-08-01,56.1,63.7,47.9,57.2,53.1
2021-09-01,53.9,54.3,51.4,56.7,52.9
2021-10-01,53.8,58.2,50.8,53.7,52.2
2021-11-01,53.9,59.3,57.0,49.7,52.3
2021-12-01,53.1,48.8,47.7,53.6,56.1
2022-01-01,49.5,47.7,41.1,48.8,52.4
2022-02-01,55.2,55.1,52.3,55.8,55.5
2022-03-01,57.6,60.4,52.4,58.3,56.7
2022-04-01,57.5,57.1,45.8,45.3,65.6
2022-05-01,57.1,54.7,51.2,50.6,62.5
2022-06-01,49.0,46.7,58.0,48.2,48.8
2022-07-01,59.3,57.6,54.3,58.4,61.5
2022-08-01,57.2,57.4,54.7,53.0,59.4
2022-09-01,52.4,54.5,54.0,48.4,52.9
2022-10-01,56.1,57.0,57.8,48.8,58.6
2022-11-01,52.6,53.6,51.7,44.6,55.8
2022-12-01,52.5,50.9,56.4,46.6,55.4
2023-01-01,46.9,42.9,53.2,46.3,48.0
2023-02-01,52.2,52.2,58.7,45.3,54.1
