periodo,provincia,canton,sostenimiento,total_estudiantes,bachilleres_3ero,anio
2022-2023 Inicio,MANABI,FLAVIO ALFARO,FISCOMISIONAL,141,37,2022
2022-2023 Inicio,MANABI,JAMA,FISCAL,4692,296,2022
2022-2023 Inicio,MANABI,JAMA,PARTICULAR,146,0,2022
2022-2023 Inicio,MANABI,JARAMIJO,FISCAL,6223,396,2022
2022-2023 Inicio,MANABI,JARAMIJO,PARTICULAR,893,28,2022
2022-2023 Inicio,MANABI,JIPIJAPA,FISCAL,16292,956,2022
2022-2023 Inicio,MANABI,JIPIJAPA,MUNICIPAL,5,0,2022
2022-2023 Inicio,MANABI,JIPIJAPA,PARTICULAR,1659,108,2022
2022-2023 Inicio,MANABI,JUNIN,FISCAL,4745,271,2022
2022-2023 Inicio,MANABI,JUNIN,FISCOMISIONAL,336,20,2022
2022-2023 Inicio,MANABI,JUNIN,PARTICULAR,156,0,2022
2022-2023 Inicio,MANABI,MANTA,FISCAL,53615,3665,2022
2022-2023 Inicio,MANABI,MANTA,FISCOMISIONAL,5593,427,2022
2022-2023 Inicio,MANABI,MANTA,PARTICULAR,17398,1115,2022
2022-2023 Inicio,MANABI,MONTECRISTI,FISCAL,17644,876,2022
2022-2023 Inicio,MANABI,MONTECRISTI,MUNICIPAL,272,10,2022
2022-2023 Inicio,MANABI,MONTECRISTI,PARTICULAR,2870,138,2022
2022-2023 Inicio,MANABI,OLMEDO,FISCAL,2546,140,2022
2022-2023 Inicio,MANABI,OLMEDO,FISCOMISIONAL,40,0,2022
2022-2023 Inicio,MANABI,PAJAN,FISCAL,10435,601,2022
2022-2023 Inicio,MANABI,PAJAN,FISCOMISIONAL,99,0,2022
2022-2023 Inicio,MANABI,PAJAN,PARTICULAR,314,0,2022
2022-2023 Inicio,MANABI,PEDERNALES,FISCAL,19426,957,2022
2022-2023 Inicio,MANABI,PEDERNALES,FISCOMISIONAL,159,45,2022
2022-2023 Inicio,MANABI,PEDERNALES,PARTICULAR,1689,84,2022
2022-2023 Inicio,MANABI,PICHINCHA,FISCAL,7918,459,2022
2022-2023 Inicio,MANABI,PICHINCHA,PARTICULAR,755,35,2022
2022-2023 Inicio,MANABI,PORTOVIEJO,FISCAL,60563,3979,2022
2022-2023 Inicio,MANABI,PORTOVIEJO,FISCOMISIONAL,3026,426,2022
2022-2023 Inicio,MANABI,PORTOVIEJO,PARTICULAR,15210,972,2022
2022-2023 Inicio,MANABI,PUERTO LOPEZ,FISCAL,6134,299,2022
2022-2023 Inicio,MANABI,PUERTO LOPEZ,PARTICULAR,703,10,2022
2022-2023 Inicio,MANABI,ROCAFUERTE,FISCAL,9223,604,2022
2022-2023 Inicio,MANABI,ROCAFUERTE,FISCOMISIONAL,1283,79,2022
2022-2023 Inicio,MANABI,ROCAFUERTE,PARTICULAR,396,33,2022
2022-2023 Inicio,MANABI,SAN VICENTE,FISCAL,5389,243,2022
2022-2023 Inicio,MANABI,SAN VICENTE,FISCOMISIONAL,121,0,2022
2022-2023 Inicio,MANABI,SAN VICENTE,PARTICULAR,104,0,2022
2022-2023 Inicio,MANABI,SANTA ANA,FISCAL,11526,680,2022
2022-2023 Inicio,MANABI,SANTA ANA,MUNICIPAL,19,0,2022
2022-2023 Inicio,MANABI,SANTA ANA,PARTICULAR,572,41,2022
2022-2023 Inicio,MANABI,SUCRE,FISCAL,13729,824,2022
2022-2023 Inicio,MANABI,SUCRE,FISCOMISIONAL,430,25,2022
2022-2023 Inicio,MANABI,SUCRE,PARTICULAR,1494,93,2022
2022-2023 Inicio,MANABI,TOSAGUA,FISCAL,8559,509,2022
2022-2023 Inicio,MANABI,TOSAGUA,FISCOMISIONAL,515,0,2022
2022-2023 Inicio,MANABI,TOSAGUA,PARTICULAR,843,84,2022
2022-2023 Inicio,MORONA SANTIAGO,GUALAQUIZA,FISCAL,4085,116,2022
2022-2023 Inicio,MORONA SANTIAGO,GUALAQUIZA,FISCOMISIONAL,2395,129,2022
2022-2023 Inicio,MORONA SANTIAGO,GUALAQUIZA,MUNICIPAL,137,40,2022
2022-2023 Inicio,MORONA SANTIAGO,GUALAQUIZA,PARTICULAR,24,0,2022
2022-2023 Inicio,MORONA SANTIAGO,HUAMBOYA,FISCAL,3778,128,2022
2022-2023 Inicio,MORONA SANTIAGO,HUAMBOYA,FISCOMISIONAL,120,16,2022
2022-2023 Inicio,MORONA SANTIAGO,LIMON INDANZA,FISCAL,1913,76,2022
2022-2023 Inicio,MORONA SANTIAGO,LIMON INDANZA,FISCOMISIONAL,1358,81,2022
2022-2023 Inicio,MORONA SANTIAGO,LOGROÑO,FISCAL,2526,85,2022
2022-2023 Inicio,MORONA SANTIAGO,LOGROÑO,FISCOMISIONAL,63,0,2022
2022-2023 Inicio,MORONA SANTIAGO,MORONA,FISCAL,12039,549,2022
2022-2023 Inicio,MORONA SANTIAGO,MORONA,FISCOMISIONAL,5314,348,2022
2022-2023 Inicio,MORONA SANTIAGO,MORONA,PARTICULAR,487,15,2022
2022-2023 Inicio,MORONA SANTIAGO,PABLO SEXTO,FISCAL,843,57,2022
2022-2023 Inicio,MORONA SANTIAGO,PALORA,FISCAL,3064,103,2022
2022-2023 Inicio,MORONA SANTIAGO,PALORA,FISCOMISIONAL,420,17,2022
2022-2023 Inicio,MORONA SANTIAGO,SAN JUAN BOSCO,FISCAL,962,43,2022
2022-2023 Inicio,MORONA SANTIAGO,SAN JUAN BOSCO,FISCOMISIONAL,483,14,2022
2022-2023 Inicio,MORONA SANTIAGO,SAN JUAN BOSCO,MUNICIPAL,9,0,2022
2022-2023 Inicio,MORONA SANTIAGO,SANTIAGO,FISCAL,2024,92,2022
2022-2023 Inicio,MORONA SANTIAGO,SANTIAGO,FISCOMISIONAL,1040,76,2022
2022-2023 Inicio,MORONA SANTIAGO,SANTIAGO,PARTICULAR,184,22,2022
2022-2023 Inicio,MORONA SANTIAGO,SUCUA,FISCAL,5444,209,2022
2022-2023 Inicio,MORONA SANTIAGO,SUCUA,FISCOMISIONAL,2456,184,2022
2022-2023 Inicio,MORONA SANTIAGO,SUCUA,PARTICULAR,19,0,2022
2022-2023 Inicio,MORONA SANTIAGO,TAISHA,FISCAL,11039,245,2022
2022-2023 Inicio,MORONA SANTIAGO,TAISHA,FISCOMISIONAL,413,26,2022
2022-2023 Inicio,MORONA SANTIAGO,TIWINTZA,FISCAL,3630,60,2022
2022-2023 Inicio,MORONA SANTIAGO,TIWINTZA,FISCOMISIONAL,121,0,2022
2022-2023 Inicio,NAPO,ARCHIDONA,FISCAL,6240,354,2022
2022-2023 Inicio,NAPO,ARCHIDONA,FISCOMISIONAL,3738,223,2022
2022-2023 Inicio,NAPO,CARLOS JULIO AROSEMENA TOLA,FISCAL,975,48,2022
2022-2023 Inicio,NAPO,CARLOS JULIO AROSEMENA TOLA,FISCOMISIONAL,110,0,2022
2022-2023 Inicio,NAPO,EL CHACO,FISCAL,2269,130,2022
2022-2023 Inicio,NAPO,QUIJOS,FISCAL,1015,50,2022
2022-2023 Inicio,NAPO,QUIJOS,FISCOMISIONAL,740,100,2022
2022-2023 Inicio,NAPO,QUIJOS,PARTICULAR,53,0,2022
2022-2023 Inicio,NAPO,TENA,FISCAL,15416,807,2022
2022-2023 Inicio,NAPO,TENA,FISCOMISIONAL,9900,641,2022
2022-2023 Inicio,NAPO,TENA,PARTICULAR,805,73,2022
2022-2023 Inicio,ORELLANA,AGUARICO,FISCAL,2309,97,2022
2022-2023 Inicio,ORELLANA,LA JOYA DE LOS SACHAS,FISCAL,13626,712,2022
2022-2023 Inicio,ORELLANA,LA JOYA DE LOS SACHAS,FISCOMISIONAL,1487,103,2022
2022-2023 Inicio,ORELLANA,LA JOYA DE LOS SACHAS,PARTICULAR,761,38,2022
2022-2023 Inicio,ORELLANA,LORETO,FISCAL,6260,269,2022
2022-2023 Inicio,ORELLANA,LORETO,FISCOMISIONAL,3369,176,2022
2022-2023 Inicio,ORELLANA,ORELLANA,FISCAL,25916,1171,2022
2022-2023 Inicio,ORELLANA,ORELLANA,FISCOMISIONAL,2843,421,2022
2022-2023 Inicio,ORELLANA,ORELLANA,PARTICULAR,2068,284,2022
2022-2023 Inicio,PASTAZA,ARAJUNO,FISCAL,3776,141,2022
2022-2023 Inicio,PASTAZA,MERA,FISCAL,2650,137,2022
2022-2023 Inicio,PASTAZA,MERA,FISCOMISIONAL,759,0,2022
2022-2023 Inicio,PASTAZA,PASTAZA,FISCAL,18736,765,2022
2022-2023 Inicio,PASTAZA,PASTAZA,FISCOMISIONAL,7725,669,2022
2022-2023 Inicio,PASTAZA,PASTAZA,PARTICULAR,912,206,2022
2022-2023 Inicio,PASTAZA,SANTA CLARA,FISCAL,526,73,2022
2022-2023 Inicio,PASTAZA,SANTA CLARA,FISCOMISIONAL,715,50,2022
2022-2023 Inicio,PICHINCHA,CAYAMBE,FISCAL,25141,1864,2022
2022-2023 Inicio,PICHINCHA,CAYAMBE,FISCOMISIONAL,2072,137,2022
2022-2023 Inicio,PICHINCHA,CAYAMBE,MUNICIPAL,512,0,2022
2022-2023 Inicio,PICHINCHA,CAYAMBE,PARTICULAR,1921,127,2022
2022-2023 Inicio,PICHINCHA,MEJIA,FISCAL,20592,1369,2022
2022-2023 Inicio,PICHINCHA,MEJIA,FISCOMISIONAL,342,24,2022
2022-2023 Inicio,PICHINCHA,MEJIA,PARTICULAR,3052,108,2022
2022-2023 Inicio,PICHINCHA,PEDRO MONCAYO,FISCAL,9582,527,2022
2022-2023 Inicio,PICHINCHA,PEDRO MONCAYO,FISCOMISIONAL,662,0,2022
2022-2023 Inicio,PICHINCHA,PEDRO MONCAYO,PARTICULAR,480,46,2022
2022-2023 Inicio,PICHINCHA,PEDRO VICENTE MALDONADO,FISCAL,4136,256,2022
2022-2023 Inicio,PICHINCHA,PEDRO VICENTE MALDONADO,FISCOMISIONAL,456,41,2022
2022-2023 Inicio,PICHINCHA,PUERTO QUITO,FISCAL,6670,416,2022
2022-2023 Inicio,PICHINCHA,PUERTO QUITO,FISCOMISIONAL,437,30,2022
2022-2023 Inicio,PICHINCHA,QUITO,FISCAL,392387,27290,2022
2022-2023 Inicio,PICHINCHA,QUITO,FISCOMISIONAL,26541,2234,2022
2022-2023 Inicio,PICHINCHA,QUITO,MUNICIPAL,21410,2098,2022
2022-2023 Inicio,PICHINCHA,QUITO,PARTICULAR,172712,12342,2022
2022-2023 Inicio,PICHINCHA,RUMIÑAHUI,FISCAL,19758,1526,2022
2022-2023 Inicio,PICHINCHA,RUMIÑAHUI,FISCOMISIONAL,116,1,2022
2022-2023 Inicio,PICHINCHA,RUMIÑAHUI,MUNICIPAL,637,0,2022
2022-2023 Inicio,PICHINCHA,RUMIÑAHUI,PARTICULAR,11474,907,2022
2022-2023 Inicio,PICHINCHA,SAN MIGUEL DE LOS BANCOS,FISCAL,3049,202,2022
2022-2023 Inicio,PICHINCHA,SAN MIGUEL DE LOS BANCOS,FISCOMISIONAL,1171,81,2022
2022-2023 Inicio,SANTA ELENA,LA LIBERTAD,FISCAL,24917,1499,2022
2022-2023 Inicio,SANTA ELENA,LA LIBERTAD,MUNICIPAL,416,36,2022
2022-2023 Inicio,SANTA ELENA,LA LIBERTAD,PARTICULAR,7234,869,2022
2022-2023 Inicio,SANTA ELENA,SALINAS,FISCAL,17606,994,2022
2022-2023 Inicio,SANTA ELENA,SALINAS,MUNICIPAL,562,48,2022
2022-2023 Inicio,SANTA ELENA,SALINAS,PARTICULAR,6211,414,2022
2022-2023 Inicio,SANTA ELENA,SANTA ELENA,FISCAL,46389,1947,2022
2022-2023 Inicio,SANTA ELENA,SANTA ELENA,FISCOMISIONAL,1274,106,2022
2022-2023 Inicio,SANTA ELENA,SANTA ELENA,PARTICULAR,2412,161,2022
2022-2023 Inicio,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,FISCAL,15212,1059,2022
2022-2023 Inicio,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,FISCOMISIONAL,218,48,2022
2022-2023 Inicio,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,PARTICULAR,1619,82,2022
2022-2023 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,FISCAL,101981,6175,2022
2022-2023 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,FISCOMISIONAL,2453,114,2022
2022-2023 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,PARTICULAR,17103,1448,2022
2022-2023 Inicio,SUCUMBIOS,CASCALES,FISCAL,3945,165,2022
2022-2023 Inicio,SUCUMBIOS,CASCALES,FISCOMISIONAL,29,9,2022
2022-2023 Inicio,SUCUMBIOS,CUYABENO,FISCAL,2704,93,2022
2022-2023 Inicio,SUCUMBIOS,CUYABENO,FISCOMISIONAL,85,11,2022
2022-2023 Inicio,SUCUMBIOS,GONZALO PIZARRO,FISCAL,3399,190,2022
2022-2023 Inicio,SUCUMBIOS,GONZALO PIZARRO,FISCOMISIONAL,14,7,2022
2022-2023 Inicio,SUCUMBIOS,LAGO AGRIO,FISCAL,27577,1362,2022
2022-2023 Inicio,SUCUMBIOS,LAGO AGRIO,FISCOMISIONAL,2196,350,2022
2022-2023 Inicio,SUCUMBIOS,LAGO AGRIO,PARTICULAR,2243,237,2022
2022-2023 Inicio,SUCUMBIOS,PUTUMAYO,FISCAL,2766,148,2022
2022-2023 Inicio,SUCUMBIOS,PUTUMAYO,FISCOMISIONAL,12,7,2022
2022-2023 Inicio,SUCUMBIOS,SHUSHUFINDI,FISCAL,15392,1100,2022
2022-2023 Inicio,SUCUMBIOS,SHUSHUFINDI,FISCOMISIONAL,178,31,2022
2022-2023 Inicio,SUCUMBIOS,SHUSHUFINDI,MUNICIPAL,803,42,2022
2022-2023 Inicio,SUCUMBIOS,SHUSHUFINDI,PARTICULAR,685,24,2022
2022-2023 Inicio,SUCUMBIOS,SUCUMBIOS,FISCAL,832,70,2022
2022-2023 Inicio,TUNGURAHUA,AMBATO,FISCAL,65593,4448,2022
2022-2023 Inicio,TUNGURAHUA,AMBATO,FISCOMISIONAL,3524,260,2022
2022-2023 Inicio,TUNGURAHUA,AMBATO,PARTICULAR,25162,2450,2022
2022-2023 Inicio,TUNGURAHUA,BAÑOS DE AGUA SANTA,FISCAL,5125,374,2022
2022-2023 Inicio,TUNGURAHUA,BAÑOS DE AGUA SANTA,PARTICULAR,254,0,2022
2022-2023 Inicio,TUNGURAHUA,CEVALLOS,FISCAL,2074,123,2022
2022-2023 Inicio,TUNGURAHUA,CEVALLOS,PARTICULAR,441,0,2022
2022-2023 Inicio,TUNGURAHUA,MOCHA,FISCAL,1408,84,2022
2022-2023 Inicio,TUNGURAHUA,PATATE,FISCAL,2482,139,2022
2022-2023 Inicio,TUNGURAHUA,PATATE,PARTICULAR,109,0,2022
2022-2023 Inicio,TUNGURAHUA,QUERO,FISCAL,3541,276,2022
2022-2023 Inicio,TUNGURAHUA,QUERO,FISCOMISIONAL,233,12,2022
2022-2023 Inicio,TUNGURAHUA,SAN PEDRO DE PELILEO,FISCAL,12457,836,2022
2022-2023 Inicio,TUNGURAHUA,SAN PEDRO DE PELILEO,FISCOMISIONAL,627,58,2022
2022-2023 Inicio,TUNGURAHUA,SAN PEDRO DE PELILEO,PARTICULAR,1856,83,2022
2022-2023 Inicio,TUNGURAHUA,SANTIAGO DE PILLARO,FISCAL,7859,569,2022
2022-2023 Inicio,TUNGURAHUA,SANTIAGO DE PILLARO,FISCOMISIONAL,573,0,2022
2022-2023 Inicio,TUNGURAHUA,SANTIAGO DE PILLARO,PARTICULAR,363,0,2022
2022-2023 Inicio,TUNGURAHUA,TISALEO,FISCAL,1597,91,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,CENTINELA DEL CONDOR,FISCAL,1557,92,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,CENTINELA DEL CONDOR,FISCOMISIONAL,257,0,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,CHINCHIPE,FISCAL,2469,179,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,CHINCHIPE,FISCOMISIONAL,324,0,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,EL PANGUI,FISCAL,2308,85,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,EL PANGUI,FISCOMISIONAL,1720,102,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,NANGARITZA,FISCAL,1974,94,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,NANGARITZA,FISCOMISIONAL,239,0,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,PALANDA,FISCAL,2390,178,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,PALANDA,FISCOMISIONAL,87,0,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,PAQUISHA,FISCAL,1344,73,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,PAQUISHA,FISCOMISIONAL,248,0,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,YACUAMBI,FISCAL,1746,95,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),FISCAL,5981,357,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),FISCOMISIONAL,1385,96,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),PARTICULAR,105,0,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,ZAMORA,FISCAL,5250,329,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,ZAMORA,FISCOMISIONAL,3412,396,2022
2022-2023 Inicio,ZAMORA CHINCHIPE,ZAMORA,PARTICULAR,112,0,2022
